Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       52     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      0.00     0.00       48     0.00     0.00  std::_Head_base<1ul, std::default_delete<Trainee>, true>::_M_head(std::_Head_base<1ul, std::default_delete<Trainee>, true>&)
  0.00      0.00     0.00       48     0.00     0.00  std::unique_ptr<Trainee, std::default_delete<Trainee> >::get_deleter()
  0.00      0.00     0.00       48     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<Trainee> >::_M_head(std::_Tuple_impl<1ul, std::default_delete<Trainee> >&)
  0.00      0.00     0.00       48     0.00     0.00  std::__uniq_ptr_impl<Trainee, std::default_delete<Trainee> >::_M_deleter()
  0.00      0.00     0.00       48     0.00     0.00  std::default_delete<Trainee>& std::__get_helper<1ul, std::default_delete<Trainee>>(std::_Tuple_impl<1ul, std::default_delete<Trainee>>&)
  0.00      0.00     0.00       48     0.00     0.00  std::tuple_element<1ul, std::tuple<Trainee*, std::default_delete<Trainee> > >::type& std::get<1ul, Trainee*, std::default_delete<Trainee> >(std::tuple<Trainee*, std::default_delete<Trainee> >&)
  0.00      0.00     0.00       44     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_Tp_allocator()
  0.00      0.00     0.00       41     0.00     0.00  CharacterFactory::BaseCharacter::~BaseCharacter()
  0.00      0.00     0.00       41     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::max_size() const
  0.00      0.00     0.00       35     0.00     0.00  CharacterFactory::BaseCharacter::BaseCharacter(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
  0.00      0.00     0.00       35     0.00     0.00  RNG::roll_dice()
  0.00      0.00     0.00       35     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.00     0.00       33     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  0.00      0.00     0.00       30     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00       29     0.00     0.00  Engine::fight()
  0.00      0.00     0.00       29     0.00     0.00  Engine::level_up()
  0.00      0.00     0.00       29     0.00     0.00  Villain::Villain(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
  0.00      0.00     0.00       29     0.00     0.00  Villain::~Villain()
  0.00      0.00     0.00       29     0.00     0.00  Villain::~Villain()
  0.00      0.00     0.00       29     0.00     0.00  void __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00       29     0.00     0.00  void __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.00     0.00       29     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_Tp_allocator() const
  0.00      0.00     0.00       29     0.00     0.00  std::default_delete<Villain>::operator()(Villain*) const
  0.00      0.00     0.00       29     0.00     0.00  std::_Head_base<0ul, Villain*, false>::_Head_base()
  0.00      0.00     0.00       29     0.00     0.00  std::_Head_base<1ul, std::default_delete<Villain>, true>::_M_head(std::_Head_base<1ul, std::default_delete<Villain>, true>&)
  0.00      0.00     0.00       29     0.00     0.00  std::_Head_base<1ul, std::default_delete<Villain>, true>::_Head_base()
  0.00      0.00     0.00       29     0.00     0.00  std::unique_ptr<Villain, std::default_delete<Villain> >::get_deleter()
  0.00      0.00     0.00       29     0.00     0.00  std::unique_ptr<Villain, std::default_delete<Villain> >::unique_ptr<std::default_delete<Villain>, void>(Villain*)
  0.00      0.00     0.00       29     0.00     0.00  std::unique_ptr<Villain, std::default_delete<Villain> >::~unique_ptr()
  0.00      0.00     0.00       29     0.00     0.00  std::_Tuple_impl<0ul, Villain*, std::default_delete<Villain> >::_Tuple_impl()
  0.00      0.00     0.00       29     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<Villain> >::_M_head(std::_Tuple_impl<1ul, std::default_delete<Villain> >&)
  0.00      0.00     0.00       29     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<Villain> >::_Tuple_impl()
  0.00      0.00     0.00       29     0.00     0.00  std::__uniq_ptr_impl<Villain, std::default_delete<Villain> >::_M_deleter()
  0.00      0.00     0.00       29     0.00     0.00  std::__uniq_ptr_impl<Villain, std::default_delete<Villain> >::__uniq_ptr_impl(Villain*)
